id,0,1,2,3,4
0,31,4,32,29,2
1,6,21,18,27,15
2,30,5,7,14,12
3,16,17,30,5,7
4,0,31,32,29,2
5,30,2,7,14,12
6,1,19,21,20,18
7,30,2,5,14,12
8,27,19,18,6,10
9,21,27,15,20,1
10,27,8,28,19,6
11,23,16,15,21,9
12,30,2,5,7,14
13,26,28,6,27,8
14,30,2,5,7,12
15,21,27,9,20,1
16,3,30,2,23,5
17,3,24,22,21,20
18,22,8,6,17,3
19,6,8,28,18,10
20,21,15,24,9,27
21,20,15,24,9,27
22,18,3,17,29,24
23,16,3,11,30,2
24,21,20,25,3,17
25,24,21,20,3,17
26,13,28,6,27,8
27,20,15,8,9,21
28,19,6,27,8,10
29,0,31,4,32,18
30,2,5,7,14,12
31,0,4,32,29,2
32,31,4,0,29,2
